,Title,Date,Price,Store,Town,Wilaya,Area,FlatType,isForRent
0,Location Hangar Alger Dar el beida,2025-07-26 11:42:25+00:00,2500000.0,Agence ROYAL,Dar el beida,Alger,,,True
1,Location Hangar Alger Birkhadem,2025-07-26 11:42:01+00:00,25000000.0,Agence ROYAL,Birkhadem,Alger,,,True
2,Vente Appartement F3 Alger Kouba,2025-07-26 11:41:59+00:00,55000000.0,Bureau d'affaires sifer,Kouba,Alger,108,F3,False
3,Location Hangar Blida Beni mered,2025-07-26 11:41:53+00:00,800000.0,Agence ROYAL,Beni mered,Blida,,,True
4,Vente Appartement F3 Alger Bordj el bahri,2025-07-26 11:41:50+00:00,,LANDPRO immobilier,Bordj el bahri,Alger,72,F3,False
5,Vente Appartement F4 Sétif Setif,2025-07-26 11:17:45+00:00,9200000.0,,Setif,Sétif,100,F4,False
6,Vente Villa Alger El marsa,2025-07-26 11:17:07+00:00,30000000.0,,El marsa,Alger,,,False
7,Vente Appartement F5 Alger Dely brahim,2025-07-26 11:41:43+00:00,45000000.0,Agence ROYAL,Dely brahim,Alger,147,F5,False
8,Vente Appartement F3 Alger Birtouta,2025-07-26 11:41:12+00:00,125000000.0,Agence ROYAL,Birtouta,Alger,75,F3,False
9,Location Villa Alger Cheraga,2025-07-26 11:40:58+00:00,250000.0,Agence ROYAL,Cheraga,Alger,350,,True
10,Location vacances Appartement F2 Tipaza Tipaza,2025-07-26 11:40:44+00:00,,Oussama  Immobilier ,Tipaza,Tipaza,3,F2,True
11,Vente Appartement F3 F4 Alger Bordj el bahri,2025-07-26 11:40:40+00:00,15000000.0,al jawda immobilier,Bordj el bahri,Alger,,F3,False
12,Location vacances Appartement F3 Skikda Skikda,2025-07-26 11:12:50+00:00,6500.0,,Skikda,Skikda,90,F3,True
13,Location vacances Appartement F3 Oran Ain el turck,2025-07-26 11:09:11+00:00,6000.0,,Ain el turck,Oran,70,F3,True
14,Vente Appartement F3 Alger Birtouta,2025-07-26 11:40:30+00:00,14000000.0,Agence ROYAL,Birtouta,Alger,,F3,False
15,Vente Terrain Oran Bir el djir,2025-07-26 11:40:28+00:00,,Cabinet Immobilier MB PROM,Bir el djir,Oran,75,,False
16,Location Local Oran Oran,2025-07-26 11:40:28+00:00,80000.0,West-immo,Oran,Oran,242,,True
17,Location Appartement F7 Annaba Annaba,2025-07-26 11:40:27+00:00,100000.0,agence immobilière Carthage,Annaba,Annaba,120,F7,True
18,Vente Villa Alger Douera,2025-07-26 11:40:20+00:00,48000000.0,Agence ROYAL,Douera,Alger,,,False
19,Location Hangar Alger Sidi moussa,2025-07-26 11:06:40+00:00,1.0,,Sidi moussa,Alger,,,True
20,Vente Appartement Jijel Ziama mansouriah,2025-07-26 10:57:42+00:00,21500000.0,,Ziama mansouriah,Jijel,547,,False
21,Vente Appartement F4 Oran Bir el djir,2025-07-26 11:40:16+00:00,31000000.0,West-immo,Bir el djir,Oran,240,F4,False
